1	4.2	2.15133865104597	2.51	0	1	1	0	2
1	3.9	2.15133865104597	2.1	0	1	2	0	1
1	3.9	2.15133865104597	2.16	0	1	3	0	2
1	3.6	2.15133865104597	2.26	0	1	4	0	1
1	3.92	2.15133865104597	2.33	0	1	5	0	1
1	4.13	2.15133865104597	2.56	0	1	6	0	1
2	4.4	2.11981423430774	2.48	0	1	1	0	2
2	4.2	2.11981423430774	2.34	0	1	2	0	2
2	4.6	2.11981423430774	2.45	0	1	3	1	3
2	4.1	2.11981423430774	2.57	0	1	4	0	2
2	5.18	2.11981423430774	3.97	0	1	5	1	3
2	5.5	2.11981423430774	5.08	0	1	6	1	3
4	3.7	2.47215896427892	2.17	0	1	1	0	1
4	4	2.47215896427892	2.39	0	1	2	0	1
4	3.3	2.47215896427892	2.44	0	1	3	0	1
4	3.6	2.47215896427892	2.42	0	1	4	0	1
4	3.48	2.47215896427892	2.8	0	1	5	0	1
4	3.85	2.47215896427892	4.48	0	1	6	0	1
5	4.3	2.20583592223342	2.58	0	1	1	0	2
5	4.1	2.20583592223342	2.68	0	1	2	0	2
5	3.8	2.20583592223342	2.84	0	1	3	0	1
5	3.4	2.20583592223342	3	0	1	4	0	1
5	4.35	2.20583592223342	2.85	0	1	5	0	2
5	4.06	2.20583592223342	2.77	0	1	6	0	1
6	4.2	2.39331987029708	2.33	0	1	1	0	2
6	4.1	2.39331987029708	2.02	0	1	2	0	2
6	4.1	2.39331987029708	2	0	1	3	0	2
6	4.5	2.39331987029708	2.27	0	1	4	1	3
6	3.81	2.39331987029708	1.94	0	1	5	0	1
6	4.52	2.39331987029708	2.16	0	1	6	0	1
7	4.1	2.52371262287487	2.05	0	1	1	0	1
7	3.8	2.52371262287487	2.09	0	1	2	0	1
7	3.6	2.52371262287487	2.25	0	1	3	0	1
7	3.7	2.52371262287487	2.24	0	1	4	0	1
7	3.57	2.52371262287487	2.66	0	1	5	0	1
7	4.24	2.52371262287487	2.73	0	1	6	0	1
8	4.2	2.26052355703784	2.42	0	1	1	0	2
8	3.9	2.26052355703784	2.93	0	1	2	0	1
8	3.7	2.26052355703784	3.14	0	1	3	0	1
8	3.6	2.26052355703784	3.35	0	1	4	0	1
8	4.32	2.26052355703784	3.9	0	1	5	0	2
8	5.08	2.26052355703784	4.01	0	1	6	0	2
12	3.2	1.91535350945481	3.44	0	2	1	0	1
12	3.7	1.91535350945481	3.78	0	2	2	0	1
12	3.6	1.91535350945481	4.78	0	2	3	0	1
12	3.2	1.91535350945481	4.86	0	2	4	0	1
12	3.82	1.91535350945481	5.49	0	2	5	0	1
12	4.42	1.91535350945481	6.25	0	2	6	0	1
14	5.1	2.27851981462861	2.43	0	2	1	1	3
14	4.6	2.27851981462861	2.72	0	2	2	1	3
14	3.9	2.27851981462861	3.06	0	2	3	0	2
14	4.5	2.27851981462861	3.72	0	2	4	1	3
14	4.22	2.27851981462861	5.28	0	2	5	0	1
14	5.27	2.27851981462861	5.11	0	2	6	0	2
16	5.7	2.00263632128075	4.12	0	2	1	1	3
16	5.4	2.00263632128075	4.83	0	2	2	1	3
